Ctip Ctail W RMSD
1 4.58897 0.132735 -18.856 1.81533
2 1.88841 0.104189 -20.4408 2.5227
3 4.78398 0.120206 -20.7742 3.04637
4 2.5403 0.101058 -20.0085 3.15462
5 1.45597 0.0908571 -20.3556 1.39815
6 1.68498 0.0716827 -21.9472 2.92966
7 1.72653 0.0876136 -21.0267 2.60536
8 1.65712 0.106272 -19.3941 1.92764
9 2.07509 0.112413 -19.353 3.25749
10 1.69822 0.106742 -21.3368 4.64153
11 2.16042 0.0997922 -19.7591 2.23287
12 1.66952 0.0900417 -21.8516 2.13011
13 5.45583 0.138739 -18.0524 3.45895
14 1.33735 0.0832296 -20.3988 3.10976
15 2.04629 0.0954723 -21.2144 2.10173
16 1.32902 0.0858533 -20.9946 2.44024
17 1.65379 0.0784245 -21.9404 3.35622
18 1.60932 0.095604 -21.5775 3.635
19 10 0.135832 -22.7351 4.05891
20 9.19848 0.140898 -20.9332 3.01824
21 2.18486 0.093442 -21.7754 1.26065
22 4.81235 0.11934 -18.9845 1.20212
23 4.37457 0.119671 -19.9056 2.44163
24 6.87656 0.130937 -20.0051 2.66329
25 4.78484 0.12394 -19.4103 1.55981
26 2.16716 0.0969502 -24.175 2.00841
27 5.78664 0.124437 -22.8558 3.36411
28 10 0.147708 -21.4224 2.56892
29 4.70215 0.115496 -22.2918 3.15344
30 1.91987 0.0812181 -23.7562 2.90793
31 4.96518 0.134713 -19.7543 1.72327
32 5.54828 0.137766 -18.7269 3.43763
33 2.00434 0.110957 -21.3269 3.20727
34 1.80728 0.0861919 -21.087 1.7603
35 6.44543 0.142097 -19.4631 3.56414
36 1.68945 0.0978267 -21.9705 3.45723
37 6.53413 0.14829 -19.7112 3.3343
38 4.59776 0.122044 -19.4466 2.01898
39 2.02829 0.0884568 -23.6825 1.56116
40 1.78384 0.0792522 -22.6994 1.59475
41 2.33552 0.111291 -21.3642 1.16162
42 2.10597 0.118522 -20.8456 2.51655
43 1.61266 0.0784621 -22.7071 2.27582
44 1.53557 0.0795422 -22.662 4.41555
45 2.24219 0.0972485 -20.9535 1.21192
46 2.04563 0.101554 -22.3744 3.30727
47 1.78449 0.0892016 -22.5948 1.93894
48 1.95636 0.0840569 -22.7265 2.50649
49 9.27802 0.148095 -22.0457 2.28715
50 1.79669 0.0977652 -23.1992 3.12804
51 6.70611 0.14757 -18.3009 3.45123
52 7.45582 0.132491 -20.4223 2.53028
53 10 0.146192 -21.1019 3.07215
54 1.83018 0.0731814 -22.4517 2.60851
55 1.23926 0.0742449 -21.6607 1.7458
56 6.61708 0.145979 -20.0604 5.07641
57 4.26435 0.129702 -19.4123 2.24596
58 1.46596 0.101624 -21.519 3.56661
59 1.32583 0.0712989 -20.2152 3.07792
60 1.45724 0.0840047 -19.3977 2.17764
61 1.37381 0.0682152 -22.2299 2.37159
