Ctip Ctail W Al s(1) s(2) s(3) s(4) RMSD
1 1 0.0675943 -6.50606 0.999998 11.7814 8.33633 5.21524 3.12355 2.69602
2 1 0.0875135 -2.22045e-014 1 4.41423 3.00903 2.29949 1.71691 3.20337
3 1 0.0469713 -16.5637 0.33947 6.91749 3.84205 2.71532 1.73511 4.89441
4 1 0.084529 -2.22045e-014 1 4.73801 2.85358 2.2519 1.75729 3.92028
5 1 0.0685698 -6.05695 1 11.0981 8.50733 5.41538 3.11079 2.53669
6 1 0.0740407 -2.22045e-014 1 4.10803 2.90814 2.04753 1.6606 4.51092
7 1 0.0913603 -2.22045e-014 1 4.03631 3.1278 2.26678 1.69221 3.59662
8 1 0.0282242 -18.4571 0.497691 10.4265 8.09784 4.02535 2.06005 6.94318
9 1 0.0478871 -16.6924 0.339823 6.76147 3.92349 2.96253 1.81481 4.33494
10 1 0.0608272 -22.2128 0.331606 9.41747 5.28286 2.55694 1.55269 9.06535
11 1 0.0261647 -18.13 0.487024 12.318 7.08559 4.965 2.27143 7.07153
12 1 0.0775508 -2.22045e-014 1 4.17446 3.14898 2.37485 1.7241 3.64574
13 1 0.0771482 -2.22045e-014 1 4.04715 3.12559 2.3424 1.60548 3.62235
14 1 0.0755774 -2.22045e-014 1 4.40488 3.04333 2.19845 1.61325 4.97149
15 1 0.0375461 -16.8431 0.526017 12.7372 7.27675 4.11602 2.22099 6.22166
16 1 0.0711756 -5.25584 1 11.2103 7.62393 4.96263 2.81463 3.71874
17 1 0.0556029 -2.50376e-009 1 4.16224 2.90891 2.22085 1.67612 4.65078
18 1 0.0633765 -2.22293e-014 1 4.05282 2.92098 2.26885 1.53795 5.28565
19 1 0.0370373 -15.7765 0.5372 13.9005 6.613 3.22722 1.92282 5.4509
20 1 0.0428542 -13.502 0.629908 14.8318 8.75183 4.78675 3.28612 4.57809
21 1 0.0278588 -16.9607 0.513767 12.3134 7.74655 4.39713 2.24808 5.74811
22 1 0.0369336 -13.6438 0.642274 14.6338 8.38636 6.85242 3.75901 4.31557
23 1 0.0359648 -15.0979 0.569669 13.345 8.57555 5.5813 3.06418 4.89527
24 1 0.033322 -15.7833 0.541588 13.0077 7.91872 4.91423 2.58357 5.51348
25 1 0.0329263 -15.6263 0.591498 12.9731 8.95681 5.94852 3.08647 5.60023
26 1 0.0482308 -18.7737 0.336973 6.50833 4.32942 2.51226 1.5855 4.97626
27 1 0.0252617 -19.7321 0.324518 6.9767 3.88022 2.41804 1.73552 4.35393
28 1 0.0481679 -14.1265 0.630201 13.1767 8.45507 4.56368 2.6601 4.72333
29 1 0.0317906 -19.6731 0.342011 6.93048 4.13697 2.44622 1.7454 4.28557
30 1 0.0428077 -19.3772 0.332024 7.43589 4.19187 2.65578 1.6848 5.25717
31 1 0.044886 -16.69 0.350393 5.89856 3.99226 2.94744 1.74757 3.68718
32 1 0.0959914 -2.22045e-014 1 4.13742 2.90444 2.11976 1.6238 4.36052
33 1 0.0664396 -6.42876 1 11.6448 8.00181 4.74582 2.85554 3.28966
34 1 0.0311262 -17.9756 0.512077 11.6691 7.93188 4.1215 2.21011 6.51383
35 1 0.0524276 -15.5684 0.401968 7.97591 4.79674 3.25652 1.84194 4.41325
36 1 0.08579 -2.22045e-014 1 4.36505 3.11558 2.2636 1.63608 3.32329
37 1 0.0586594 -5.91397 1 11.1067 7.78627 5.07716 2.72206 3.11414
38 1 0.0429438 -15.0357 0.590868 12.4091 8.53707 6.0755 2.94679 5.23245
39 1 0.0350119 -20.1353 0.353461 6.85007 4.18165 2.5368 1.66929 4.6795
40 1 0.0636204 -15.1736 0.369175 7.09227 4.07691 2.94366 1.94523 3.96171
41 1 0.0400575 -18.6338 0.350509 5.63909 4.2696 2.7602 1.63326 4.58912
42 1 0.0585665 -15.2146 0.393182 5.23154 4.67532 3.46958 1.94513 3.93223
43 1 0.0331359 -21.7271 0.347018 7.46936 4.34692 2.56011 1.74521 5.9829
44 1 0.0595674 -17.485 0.357964 6.72316 4.83313 3.25308 1.819 6.70144
45 1 0.0369379 -15.0519 0.538294 11.331 6.37715 5.47313 2.83731 4.70756
46 1 0.0469267 -18.1137 0.340572 6.85907 4.17095 2.72931 1.74822 4.68294
47 1 0.0433193 -15.7151 0.584229 13.9185 8.41774 5.19713 3.04805 5.53118
48 1 0.0232699 -18.2993 0.468869 12.8995 6.58288 3.89229 2.04343 6.25103
49 1 0.0324959 -19.4508 0.324459 5.68492 3.86775 2.96302 1.61611 4.90803
50 1 0.0764862 -5.27022 1 9.75291 7.19153 4.22056 2.38864 3.60297
51 1 0.0458849 -15.1416 0.57353 13.1857 7.31966 4.42183 2.43707 5.53283
52 1 0.0388035 -14.6831 0.593162 13.071 7.6407 5.64259 2.69215 4.98412
53 1 0.028725 -16.149 0.55873 12.4891 6.96051 5.5153 2.32863 5.91439
54 1 0.0324815 -17.5939 0.540377 14.0155 7.85493 4.19961 2.58095 6.58832
55 1 0.100295 -2.23305e-014 1 4.33013 3.36237 2.13483 1.63087 4.96388
56 1 0.0517036 -19.2536 0.322687 7.26345 4.37834 3.12501 1.71419 6.08067
57 1 0.0482858 -15.5571 0.370627 6.05648 4.33679 3.41734 2.0821 4.10003
58 1 0.0717155 -4.82129 1 10.2626 7.20218 4.555 2.6716 2.65863
59 1 0.0423437 -19.213 0.360594 6.84788 4.8677 3.19053 2.09171 4.80874
60 1 0.0375065 -16.9966 0.541728 12.6744 8.09447 4.26418 2.46334 6.33762
61 1 0.0685591 -2.22045e-014 1 3.97458 2.95369 2.64459 1.77834 5.13027
62 1 0.0351428 -19.221 0.389764 6.93096 4.19378 2.51852 1.7773 5.09464
63 1 0.0479696 -16.4588 0.382941 6.82329 3.85541 2.91221 1.81935 4.93975
64 1 0.0368365 -18.5085 0.363179 7.06383 4.17104 2.95099 2.01464 4.59155
65 1 0.0446414 -15.9795 0.399007 7.31673 3.81408 2.92278 2.0529 3.93087
66 1 0.0398213 -19.471 0.374427 6.56411 4.43495 2.55495 1.79878 5.33716
67 1 0.0649645 -5.36854 1 10.2399 7.19542 4.88226 2.56968 4.24258
68 1 0.0393626 -15.114 0.569764 11.4085 6.78268 4.81065 2.70114 4.83272
69 1 0.0555104 -14.1361 0.416617 7.28802 4.00207 3.19236 2.33645 3.13077
70 1 0.0441095 -15.1624 0.600283 14.7894 7.82947 5.35501 3.18704 5.60818
71 1 0.0332998 -19.0095 0.324435 5.94824 3.71667 2.71151 1.5897 4.31835
72 1 0.0546783 -17.9677 0.328586 6.10275 4.21005 3.21663 1.60139 6.13479
73 1 0.0601458 -14.8709 0.361602 6.21564 4.08249 3.28349 1.89776 3.57849
74 1 0.0645968 -16.2551 0.354821 6.18321 4.54363 3.28558 1.82727 4.65686
75 1 0.0635795 -15.0956 0.377117 6.64865 4.10083 3.76963 2.15911 3.88786
76 1 0.0287113 -22.0205 0.30364 5.90718 4.0885 2.74062 1.48829 6.03501
77 1 0.0534952 -17.6553 0.353636 6.68748 4.05821 2.88814 1.73793 4.45875
78 1 0.0421525 -18.7271 0.324548 6.97078 3.82918 2.77438 1.67314 4.34384
79 1 0.0378007 -19.7267 0.324121 6.15222 4.21711 3.32287 1.74561 5.18313
80 1 0.039955 -20.5549 0.339611 6.7725 4.2012 3.10819 1.73344 6.07215
81 1 0.0438495 -14.9407 0.582206 13.2677 7.60985 4.72092 2.59505 5.27403
82 1 0.030999 -16.9882 0.559605 15 6.10901 5.17711 2.43194 6.74739
83 1 0.0438766 -14.2436 0.61789 13.4564 8.5282 6.86128 3.61958 4.81254
84 1 0.0686529 -4.19408 1 8.28813 5.60507 3.39969 1.87331 5.26072
85 1 0.0496098 -18.3582 0.356112 5.84682 4.57176 3.55359 1.8134 6.21515
86 1 0.0476032 -19.3906 0.334629 6.02675 4.98306 3.76689 1.8604 5.75218
87 1 0.0418167 -17.4696 0.346648 5.5028 4.35338 3.794 1.91207 5.23128
88 1 0.0423234 -18.9578 0.356397 6.16417 3.98529 3.7743 1.88953 5.86075
89 1 0.095508 -2.22045e-014 1 4.24384 2.98929 2.46918 1.82561 3.84686
90 1 0.0463043 -15.9195 0.575898 12.3431 8.48105 5.95345 2.96239 5.95629
91 1 0.0597446 -15.2705 0.378848 6.33582 4.21452 2.76807 1.80406 3.68546
92 1 0.0382276 -15.0085 0.586123 13.4978 7.63847 5.15469 2.5944 4.92254
93 1 0.0581563 -5.90226 1 10.8569 7.84881 4.83062 2.67988 3.67293
94 1 0.0395831 -16.5187 0.550479 13.1425 7.60282 3.54787 2.14542 6.03631
