Ctip Ctail W Al M RMSD
1 1 0.0591253 -14.5292 0.145274 -0.00119604 3.51072
2 1 0.0916508 -9.4815 0.150553 -0.00109435 3.48579
3 1 0.0546494 -13.0682 0.150266 -0.00122393 5.37989
4 1 0.0879733 -8.42498 0.167719 -0.00104688 5.69664
5 1 0.0681895 -15.0487 0.124025 -0.00118098 2.06524
6 1 0.0516826 -12.569 0.157594 -0.00114776 4.85747
7 1 0.0688608 -13.3201 0.143068 -0.00110598 2.23953
8 1 0.0431846 -16.0507 0.147665 -0.00119446 2.09636
9 1 0.056058 -13.2499 0.147003 -0.00113957 4.15281
10 1 0.0952563 -19.4489 0.0700017 -0.00151632 4.17153
11 1 0.0399757 -15.3715 0.148583 -0.00107907 3.61545
12 1 0.0604506 -14.2302 0.127479 -0.00108035 2.98714
13 1 0.0732677 -13.8872 0.114113 -0.0012523 2.26273
14 1 0.0479289 -18.8623 0.0977427 -0.00132157 3.83485
15 1 0.0617464 -14.2991 0.144585 -0.0011853 3.41726
16 1 0.0795965 -16.0889 0.101434 -0.0012378 4.05995
17 1 0.0327602 -14.0841 0.14518 -0.00117702 4.50546
18 1 0.01 -22.189 0.0948518 -0.00143488 3.69814
19 1 0.0631825 -12.7087 0.15075 -0.00144468 5.53872
20 1 0.0715679 -10.737 0.177459 -0.00101288 5.08629
21 1 0.0437955 -14.0823 0.160143 -0.00113851 2.55593
22 1 0.0596271 -10.9303 0.20076 -0.000857216 3.82351
23 1 0.0583308 -12.4396 0.166894 -0.000954363 2.62274
24 1 0.0548572 -12.8496 0.160904 -0.00106856 3.05341
25 1 0.0529278 -13.0262 0.187039 -0.000912368 2.60478
26 1 0.0589714 -15.4602 0.125143 -0.00138981 3.15644
27 1 0.0235377 -15.8582 0.171383 -0.00117557 4.60363
28 1 0.0800126 -11.7036 0.169898 -0.00112121 3.48439
29 1 0.0338391 -16.1047 0.162639 -0.00118981 3.8383
30 1 0.0501365 -15.994 0.128709 -0.00125581 4.48123
31 1 0.0510608 -13.3277 0.161877 -0.00118491 2.18997
32 1 0.0728635 -13.3323 0.143168 -0.0012371 3.8697
33 1 0.0490181 -16.5214 0.132672 -0.00134297 2.58124
34 1 0.0497652 -15.4724 0.149596 -0.00113829 2.02585
35 1 0.0756978 -12.4565 0.125378 -0.00127623 2.94651
36 1 0.0842206 -13.2259 0.117343 -0.00123273 2.46133
37 1 0.0487096 -16.2745 0.119677 -0.00136776 2.29645
38 1 0.0710987 -12.5639 0.162659 -0.000957577 2.23112
